rung,seed,epochs_completed,best_epoch,best_validation_nlp_nat_per_target_dimension,development_mean_nlp_nat_per_target_dimension,median_crps,joint_90_coverage,primary_90_coverage,secondary_90_coverage,calibration_accessed,final_evaluation_accessed
16384,0,36,15,0.27358411671593785,0.2735841215229205,0.21584667790173845,0.8878580729166666,0.9290364583333334,0.9375,false,false
16384,1,38,17,0.246713080133001,0.2467130402122469,0.1961564495068106,0.8649088541666666,0.8562825520833334,0.87451171875,false,false
16384,2,43,22,0.2759289775664608,0.27592897612339584,0.18722279154726912,0.8658854166666666,0.89501953125,0.8924153645833334,false,false
32768,0,57,36,0.04729731209226884,0.04729726678245546,0.1410600185605004,0.8317057291666666,0.9010416666666666,0.8258463541666666,false,false
32768,1,60,39,0.01466684949506695,0.014666840824550794,0.1365122246498272,0.833984375,0.9215494791666666,0.8894856770833334,false,false
32768,2,53,32,0.025319669182257105,0.02531968807064307,0.14441966765393804,0.8313802083333334,0.8893229166666666,0.84619140625,false,false
