source_group,source_path,snapshot_path,bytes,mtime_utc,sha256,content_role,decision
candidate_qkzhang,/root/autodl-tmp/qkzhang/data_gen_check/LIGO_SIS_GW_events.py,vendor/legacy_snapshot/candidate_qkzhang/data_gen_check/LIGO_SIS_GW_events.py,43334,2026-05-25T14:56:16.574788+00:00,e2582c769752bf9f9b3f508ba17f3d17b0b9b06accaa758880e80774dcd3657e,source,smoke-only; extract tested physics conventions
candidate_qkzhang,/root/autodl-tmp/qkzhang/data_gen_check/LIGO_unlensed_GW_events.py,vendor/legacy_snapshot/candidate_qkzhang/data_gen_check/LIGO_unlensed_GW_events.py,10901,2026-05-25T14:56:16.702789+00:00,2b0a3727a53bd75bc1bc50986a1a1a0477dcf8452504a8b88adc5b1a86990e37,source,smoke-only; extract tested physics conventions
candidate_qkzhang,/root/autodl-tmp/qkzhang/data_gen_check/backup_original/ET_PM_GW_events.py,vendor/legacy_snapshot/candidate_qkzhang/data_gen_check/backup_original/ET_PM_GW_events.py,40657,2026-05-25T14:58:07.016551+00:00,7d33c396ce3f6b5e76e9dc446445b6e2db309778590ad0dcd7f8fa84b3a026ba,source,smoke-only; extract tested physics conventions
candidate_qkzhang,/root/autodl-tmp/qkzhang/data_gen_check/backup_original/ET_SIS_GW_events.py,vendor/legacy_snapshot/candidate_qkzhang/data_gen_check/backup_original/ET_SIS_GW_events.py,39684,2026-05-25T14:58:07.016551+00:00,4b7d7017575b4e2ae91e4caeba7a34fdd9c55044dea99b465437321fce68a2c3,source,smoke-only; extract tested physics conventions
candidate_qkzhang,/root/autodl-tmp/qkzhang/data_gen_check/backup_original/ET_unlensed_GW_events.py,vendor/legacy_snapshot/candidate_qkzhang/data_gen_check/backup_original/ET_unlensed_GW_events.py,9812,2026-05-25T14:58:07.016551+00:00,8e66d03ae2d5ed9fab57b40a3be3e15a44ca094bee9c8521bb29dfef1781c1de,source,smoke-only; extract tested physics conventions
candidate_qkzhang,/root/autodl-tmp/qkzhang/data_gen_check/backup_original/LIGO_PM_GW_events.py,vendor/legacy_snapshot/candidate_qkzhang/data_gen_check/backup_original/LIGO_PM_GW_events.py,41974,2026-05-25T14:58:07.016551+00:00,35f93b85e385881225718523ab05ca7cfc2d5f0647f6e3472122b19214c98e64,source,smoke-only; extract tested physics conventions
candidate_qkzhang,/root/autodl-tmp/qkzhang/data_gen_check/backup_original/LIGO_SIS_GW_events.py,vendor/legacy_snapshot/candidate_qkzhang/data_gen_check/backup_original/LIGO_SIS_GW_events.py,43334,2026-05-25T14:58:07.016551+00:00,e2582c769752bf9f9b3f508ba17f3d17b0b9b06accaa758880e80774dcd3657e,source,smoke-only; extract tested physics conventions
candidate_qkzhang,/root/autodl-tmp/qkzhang/data_gen_check/backup_original/LIGO_unlensed_GW_events.py,vendor/legacy_snapshot/candidate_qkzhang/data_gen_check/backup_original/LIGO_unlensed_GW_events.py,10901,2026-05-25T14:58:07.016551+00:00,2b0a3727a53bd75bc1bc50986a1a1a0477dcf8452504a8b88adc5b1a86990e37,source,smoke-only; extract tested physics conventions
candidate_qkzhang,/root/autodl-tmp/qkzhang/data_gen_check/checks/smoke_qc_summary.csv,vendor/legacy_snapshot/candidate_qkzhang/data_gen_check/checks/smoke_qc_summary.csv,800,2026-05-25T15:14:04.752938+00:00,1cc0bbd44e52deacf88b9c74a61fe9cb4fdcaced66c4bf31ddc0f7eceaa4577e,metadata_or_documentation,smoke-only; extract tested physics conventions
candidate_qkzhang,/root/autodl-tmp/qkzhang/data_gen_check/qc_smoke_outputs.py,vendor/legacy_snapshot/candidate_qkzhang/data_gen_check/qc_smoke_outputs.py,9514,2026-05-25T15:04:15.198041+00:00,cbb98591b617cdba41c617c1b4df68ccf58c5838552ce95cd1e28f8e77a6ef2f,source,smoke-only; extract tested physics conventions
candidate_qkzhang,/root/autodl-tmp/qkzhang/data_gen_check/smoke_code/ET_PM_GW_events.py,vendor/legacy_snapshot/candidate_qkzhang/data_gen_check/smoke_code/ET_PM_GW_events.py,40927,2026-05-25T15:04:15.687044+00:00,152f87ebc437bafd1de409a554feace7e6565d3fe46c6e49afedf788943530b9,source,smoke-only; extract tested physics conventions
candidate_qkzhang,/root/autodl-tmp/qkzhang/data_gen_check/smoke_code/ET_SIS_GW_events.py,vendor/legacy_snapshot/candidate_qkzhang/data_gen_check/smoke_code/ET_SIS_GW_events.py,40135,2026-05-25T15:04:18.214061+00:00,21a4427acf7260c7f6ee41ae7c1a73bff7b9aeb1afd46ca3d09add6d6a331a92,source,smoke-only; extract tested physics conventions
candidate_qkzhang,/root/autodl-tmp/qkzhang/data_gen_check/smoke_code/ET_unlensed_GW_events.py,vendor/legacy_snapshot/candidate_qkzhang/data_gen_check/smoke_code/ET_unlensed_GW_events.py,9833,2026-05-25T15:04:20.843079+00:00,993c1f6d7cd34a6b0fe50ea4c4049343a71025af96807269bc8bccc8facb5ee8,source,smoke-only; extract tested physics conventions
candidate_qkzhang,/root/autodl-tmp/qkzhang/data_gen_check/smoke_code/LIGO_PM_GW_events.py,vendor/legacy_snapshot/candidate_qkzhang/data_gen_check/smoke_code/LIGO_PM_GW_events.py,42246,2026-05-25T15:04:22.640091+00:00,36ac9b011e9712503a5c6a5a745eaed267947fce722b0f31599151a1367f6ae8,source,smoke-only; extract tested physics conventions
candidate_qkzhang,/root/autodl-tmp/qkzhang/data_gen_check/smoke_code/LIGO_SIS_GW_events.py,vendor/legacy_snapshot/candidate_qkzhang/data_gen_check/smoke_code/LIGO_SIS_GW_events.py,43787,2026-05-25T15:04:24.503103+00:00,7c2feb49808d0602f817ffde899b4aa92e36a737751389f82c1196827bb5df9b,source,smoke-only; extract tested physics conventions
candidate_qkzhang,/root/autodl-tmp/qkzhang/data_gen_check/smoke_code/LIGO_unlensed_GW_events.py,vendor/legacy_snapshot/candidate_qkzhang/data_gen_check/smoke_code/LIGO_unlensed_GW_events.py,10924,2026-05-25T15:04:26.733118+00:00,dec0d0880979d0ed87eb989eb82519e70f549b9073093f88374f5549cdb1d89f,source,smoke-only; extract tested physics conventions
candidate_wjx,/root/autodl-tmp/wjx_project/classcify-gw-lensing-pairs-main/README.md,vendor/legacy_snapshot/candidate_wjx/README.md,4391,2026-07-11T10:15:24.806157+00:00,c4c58abf9d67f58717915a17f0bb525d163c418bb6e078189abf8b83325068a4,metadata_or_documentation,retain unchanged as provenance
candidate_wjx,/root/autodl-tmp/wjx_project/classcify-gw-lensing-pairs-main/README.zh-CN.md,vendor/legacy_snapshot/candidate_wjx/README.zh-CN.md,772,2026-07-11T10:15:24.806157+00:00,888a56d18e8fc8a3e29d58596a00a810ef65ea48759eb8ea5dc0f3ecbe21e37d,metadata_or_documentation,retain unchanged as provenance
candidate_wjx,/root/autodl-tmp/wjx_project/classcify-gw-lensing-pairs-main/docs/ARTIFACTS.md,vendor/legacy_snapshot/candidate_wjx/docs/ARTIFACTS.md,1319,2026-07-11T10:15:24.806157+00:00,f6a26b65eb401ed19c82b3038bf505fac2149c9d7f3f8b799b158ca53665a241,metadata_or_documentation,retain unchanged as provenance
candidate_wjx,/root/autodl-tmp/wjx_project/classcify-gw-lensing-pairs-main/docs/DATASETS.md,vendor/legacy_snapshot/candidate_wjx/docs/DATASETS.md,1600,2026-07-11T10:15:24.806157+00:00,fec4cbc473df27d35c71ede01bbaf4e225f6fca9a1a2e1b8f12945cdabafe680,metadata_or_documentation,retain unchanged as provenance
candidate_wjx,/root/autodl-tmp/wjx_project/classcify-gw-lensing-pairs-main/docs/EVALUATION_PROTOCOL.md,vendor/legacy_snapshot/candidate_wjx/docs/EVALUATION_PROTOCOL.md,5453,2026-07-11T10:15:24.807157+00:00,b3dd15f5c282cafcbdb136630c753fc4d7e8c86ea08bb00c50de42f93bef3e88,metadata_or_documentation,retain unchanged as provenance
candidate_wjx,/root/autodl-tmp/wjx_project/classcify-gw-lensing-pairs-main/docs/LIMITATIONS.md,vendor/legacy_snapshot/candidate_wjx/docs/LIMITATIONS.md,1297,2026-07-11T10:15:24.807157+00:00,50ca6a56f883f215f0fa1900dfa65f51971532803c11f391a48af5aa593771fd,metadata_or_documentation,retain unchanged as provenance
